,Date,Unix,Ticker,DE Ratio,Price,SP500
52,2008-01-23 20:34:05,1201100645.0,abc,0.396,45.55,1338.599976
53,2004-09-20 13:31:02,1095667262.0,abt,0.543,42.92,1122.199951
54,2004-10-23 22:48:08,1098551888.0,abt,0.543,40.86,1103.660034
55,2005-01-25 12:44:11,1106637251.0,abt,0.508,45.93,1168.410034
56,2005-02-28 19:21:54,1109598714.0,abt,0.508,45.61,1203.599976
57,2006-06-17 18:01:01,1150547461.0,abt,0.436,42.78,1230.040039
58,2006-07-18 12:32:14,1153206134.0,abt,0.436,44.48,1236.859985
59,2007-01-13 21:19:42,1168703382.0,abt,0.604,50.45,1414.849976
60,2007-03-23 02:47:40,1174598260.0,abt,0.883,54.5,1436.109985
61,2007-04-10 20:13:09,1176216189.0,abt,0.883,57.11,1448.390015
62,2007-06-03 02:36:35,1180818395.0,abt,0.871,56.3,1530.619995
63,2008-01-23 23:41:45,1201111905.0,abt,0.784,57.97,1338.599976
64,2008-04-28 03:46:55,1209334615.0,abt,0.687,51.28,1396.369995
65,2008-10-23 21:57:42,1224779262.0,abt,0.732,55.02,908.1099849999999
66,2008-12-25 05:30:56,1230163256.0,abt,0.546,52.65,871.6300050000001
67,2004-08-16 22:53:27,1092677007.0,ace,0.26,39.1,1079.339966
68,2004-10-10 11:27:42,1097387862.0,ace,0.26,41.04,1130.650024
69,2005-01-13 13:27:29,1105603049.0,ace,0.21,42.76,1177.449951
70,2007-02-20 18:32:05,1171976525.0,ace,0.171,58.6,1459.680054
71,2007-04-05 15:54:06,1175768646.0,ace,0.171,57.24,1443.76001
72,2008-01-23 21:48:58,1201105138.0,ace,0.154,59.98,1338.599976
73,2003-12-15 23:12:24,1071510144.0,aci,1.074,30.78,1068.040039
74,2005-01-24 04:33:07,1106521387.0,aci,1.18,34.52,1163.75
75,2005-02-05 03:36:51,1107554811.0,aci,1.18,38.4,1193.189941
76,2005-03-30 06:50:28,1112145628.0,aci,0.936,41.15,1181.410034
77,2006-05-24 04:17:01,1148424421.0,aci,0.854,46.39,1258.569946
78,2007-03-11 21:41:07,1173629467.0,aci,0.86,30.08,1401.890015
79,2007-04-07 18:52:27,1175952147.0,aci,0.86,33.93,1439.369995
80,2008-03-02 17:50:27,1204460427.0,aci,0.851,51.09,1367.680054
81,2008-06-05 02:23:56,1212612836.0,aci,0.899,67.52,1404.050049
82,2008-10-08 20:51:28,1223479288.0,aci,0.772,25.11,984.9400019999999
83,2008-12-05 05:35:57,1228435557.0,aci,0.767,11.93,876.070007
84,2003-11-08 10:24:47,1068267287.0,acn,0.076,25.05,1051.810059
85,2004-12-10 06:26:24,1102640184.0,acn,0.023,26.2,1188.0
86,2005-02-10 03:10:56,1107985256.0,acn,0.023,25.51,1197.01001
87,2005-04-04 05:07:40,1112571460.0,acn,0.023,24.44,1176.119995
88,2005-09-04 02:06:58,1125779818.0,acn,0.04,25.31,1221.589966
89,2006-06-03 23:44:14,1149358454.0,acn,0.045,27.89,1270.089966
90,2006-08-22 00:50:41,1156188041.0,acn,0.034,28.57,1298.819946
91,2006-08-22 06:44:05,1156209245.0,acn,0.034,28.57,1298.819946
92,2006-08-27 03:22:58,1156629178.0,acn,0.034,28.36,1296.060059
93,2006-11-02 16:40:55,1162465855.0,acn,0.027,32.96,1367.339966
94,2006-11-11 01:01:42,1163187102.0,acn,0.027,33.87,1385.719971
95,2006-12-03 00:17:12,1165085232.0,acn,0.027,33.81,1400.630005
96,2007-03-14 19:10:39,1173879639.0,acn,0.018,35.39,1387.170044
97,2007-05-05 07:47:14,1178331434.0,acn,0.015,39.1,1495.920044
98,2007-06-05 04:17:34,1180997254.0,acn,0.015,41.24,1530.949951
99,2007-07-06 07:06:36,1183685796.0,acn,0.015,42.81,1530.439941
100,2008-04-07 01:42:51,1207512771.0,acn,0.004,36.77,1372.540039
101,2008-10-18 23:21:07,1224352267.0,acn,0.003,31.4,907.840027
102,2008-12-02 16:28:13,1228215493.0,acn,0.003,29.98,848.8099980000001
103,2008-12-21 20:10:46,1229870446.0,acn,0.001,32.21,885.2800289999999
